"art_codigo","art_nombre","art_subgrupo","art_empresa","art_medida","art_tarifa","art_descripcion","art_tipoarticulo","art_tipodestino","art_tarifa_consumo","art_referencia","art_econ_codigo","art_estado","art_gravado","art_img_nombre","art_img_ubicacion","gru_id","tip_id","art_tienetarifacondicionada","art_nrouvt_tarifacondicion","art_tarifacondicionada","econ_id","tir_codigo","art_dia_sin_iva","artdpto_id","art_peso","art_tarifa_consumo_esp","art_tarcons_mayorvlriva","art_flete"
"7",Azucar X 50 Kg,1855,"901418981",g,IVA5,"",Articulo,MERCANCIA,"","7","",Activo,true,"","",1574,563,false,,,3639,NOAPLICA,false,,,,false,
"25",Salero Refisal Alta Pureza X 130 Gr,2001,"901418981",UND,,"",Articulo,MERCANCIA,"","7703812004862","",Activo,false,"","",1587,568,false,,,3639,NOAPLICA,false,,,,false,
"136",Arroz Pilon Bulto X 45 Kg,1855,"901418981",g,,"",Articulo,MERCANCIA,"","136","",Activo,false,"","",1574,563,false,,,3639,NOAPLICA,false,,,,false,
"152",Pan Blanco Actileche Sandwich Bimbox470G,2057,"901418981",UND,,"",Articulo,MERCANCIA,"","7705326075758","",Activo,false,"","",1585,547,false,,,3639,NOAPLICA,false,,,,false,
"153",Pan De Sandwich Lalo X 380 Gr,2057,"901418981",UND,,"",Articulo,MERCANCIA,"","7705326091628","",Activo,false,"","",1585,547,false,,,3639,NOAPLICA,false,,,,false,
"205",Stayfree Toallas Femenina Paq X 42 Unid,1924,"901418981",UND,,"",Articulo,MERCANCIA,"","702031580010","",Activo,false,"","",1576,563,false,,,3636,NOAPLICA,false,,,,false,
"226",Guantes Zeux Domesticos Talla 9-9 1/2,2008,"901418981",UND,,"",Articulo,MERCANCIA,"","7703562003023","",Activo,false,"","",1579,564,false,,,3638,NOAPLICA,false,,,,false,
"233",Crema De Leche Parmalat Bolsa X1.1Litros,2071,"901418981",UND,,"",Articulo,MERCANCIA,"","7700604045348","",Activo,false,"","",1586,547,false,,,3641,NOAPLICA,false,,,,false,
"234",Crema De Leche Alpina Bolsa  X 1.1 Litro,2071,"901418981",UND,,"",Articulo,MERCANCIA,"","7702001072064","",Activo,false,"","",1586,547,false,,,3641,NOAPLICA,false,,,,false,
"236",Leche Entera Montefrio X 900 Ml,1938,"901418981",UND,,"",Articulo,MERCANCIA,"","7702129006200","",Activo,false,"","",1577,563,false,,,3639,NOAPLICA,false,,,,false,
"238",Leche Entera Codelac X 1100 Ml,1938,"901418981",UND,,"",Articulo,MERCANCIA,"","7707363590065","",Activo,false,"","",1577,563,false,,,3639,NOAPLICA,false,,,,false,
