art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
1056;Harina De Trigo La Nieve X 50 Kg;2057;901418981;g;IVA 5%;;Articulo;MERCANCIA;;7707237413759;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;4;473540;3
1513;Chocolatgranulcrocanteconfeiteirox1050Gr;1938;901418981;g;IVA19;;Articulo;MERCANCIA;;7897077820678;;Activo;true;;;1577;563;;;;3639;NOAPLICA;;;;;;29;8;20
21;Papel De Aluminio Kangupor X 7 Mts;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7808304268569;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;3671;10;2532
26;Pelicula Transp Darnel Wrap 12 X 100 Ft;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667107183;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;4000;10;2548
27;Lina Ron Con Pasas 500Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;27;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;1815;13;1252
33;Vasos Optima 5 Oz X  50 Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7703183816101;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2200;24;1776
37;Porta Comida Blanco J2 X Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;37;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;364;1;251
38;Leche Condensada Vakanisima X500Grx36Ud;2071;901418981;UND;;;Articulo;MERCANCIA;;7707268632150;;Activo;false;;;1586;547;;;;3641;NOAPLICA;;;;;;4000;7;3477
39;Canela Estilla  X 20 Lb;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;39;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1784;11;1230
41;Platos Pandos Darnel 20 X 20 Cm;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702458002959;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;3800;9;2308
49;Levadura Fresca Levapan X 500Gr;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702014000115;;Activo;true;;;1585;547;;;;3639;NOAPLICA;;;;;;1628;12;1123
51;Base Merengue Fleischmann X 1.5 Kg;2008;901418981;g;IVA19;;Articulo;MERCANCIA;;7701871002201;;Activo;true;;;1579;564;;;;3639;NOAPLICA;;;;;;925;1;638
52;Bolsa Transparente Plast 7 X 10;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;52;;Activo;true;;;1579;564;;;;3639;NOAPLICA;;;;;;1200;5;545
64;Vasos Super Practico Desechables 9 Ozx50;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7703183382095;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;3488;43;2406
65;Bocadillo De Guayaba El Ruiseñor X 480Gr;2071;901418981;UND;;;Articulo;MERCANCIA;;7709990825626;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;2200;1;4523
67;Bolsa Transparente Plast 8 X 14;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;67;;Activo;true;;;1579;564;;;;3639;NOAPLICA;;;;;;1800;13;724
70;Vaso Trasparente Optima 7 Oz X 50;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7703183381074;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2372;160;1636
71;Yodisal X 400 Gr;1855;901418981;UND;;;Articulo;MERCANCIA;;7707229460099;;Activo;false;;;1574;563;;;;3639;NOAPLICA;;;;;;568;3;391
85;Bolsa Para Boli Grande X Paq 2X9;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;85;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;300;14;137
87;Bases Redondas Icopor  # 36 X 200 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;87;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;573;25;395
103;Huevos X Unid;1855;901418981;UND;;;Articulo;MERCANCIA;;103;;Activo;false;;;1574;563;;;;3639;NOAPLICA;;;;;;583;3;402
111;Porta Comida Blanco J1 X Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;111;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;366;3;252
117;Bases Redonda Icopor  # 30 X 200 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;117;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;339;3;234
119;Bases Cuadradas Icopor 30 X 30;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;119;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;663;5;458
127;Molde De Aluminio Darnel 16 Oz X 500 Und;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;127;;Activo;true;;;1584;564;;;;3637;NOAPLICA;;;;;;352;6;243
136;Galletas Ducales  Paq X 6 Tacos;1980;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702025117475;;Activo;true;;;1580;565;;;;3641;NOAPLICA;;;;;;2955;19;2038
147;Caja Torta Maletin 26 X 26 Prexxa 3/4;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;147;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2173;20;1499
166;Azucar Micropulverizada Sta Ana X 500 Gr;1855;901418981;UND;IVA 5%;;Articulo;MERCANCIA;;7709723634303;;Activo;true;;;1574;563;;;;3639;NOAPLICA;;;;;;2600;52;3009
